,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,0.009394168853759766,0.002869072822909937,0.0037980079650878906,0.000747882334724799,entropy,15,10,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 10}",0.945054945054945,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.9111111111111111,0.9382661782661783,0.018145507793086896,8
19,0.00659646987915039,0.001355995171684466,0.005796909332275391,0.001938188829421968,entropy,15,15,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 15}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9,0.9338461538461539,0.018783174170744172,15
20,0.008195638656616211,0.003057534781186982,0.004868841171264649,0.0019216426998133226,gini,2,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 2}",0.9340659340659341,0.9120879120879121,0.9340659340659341,0.9560439560439561,0.8777777777777778,0.9228083028083027,0.02646035574510957,33
21,0.0068662166595458984,0.0021451318223964567,0.0041291236877441405,0.000779835638541717,gini,2,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 5}",0.9340659340659341,0.9120879120879121,0.9340659340659341,0.9560439560439561,0.8777777777777778,0.9228083028083027,0.02646035574510957,33
22,0.007397222518920899,0.002332371834064037,0.006195259094238281,0.003542461802634423,gini,2,10,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 10}",0.9340659340659341,0.9120879120879121,0.9340659340659341,0.9560439560439561,0.8777777777777778,0.9228083028083027,0.02646035574510957,33
23,0.009994125366210938,0.004332910088525836,0.008395242691040038,0.006884137316543802,gini,2,15,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_split': 15}",0.9340659340659341,0.9120879120879121,0.9340659340659341,0.9560439560439561,0.8777777777777778,0.9228083028083027,0.02646035574510957,33
24,0.007994270324707032,0.002449821225662823,0.0077953338623046875,0.0029242941865375532,gini,3,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 2}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9,0.9338461538461539,0.018783174170744172,15
25,0.008593177795410157,0.0033212764782056484,0.004197931289672852,0.0011661632391233058,gini,3,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 5}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9,0.9338461538461539,0.018783174170744172,15
26,0.011590957641601562,0.004841031735484157,0.005599212646484375,0.0027247463232772267,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 10}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.8777777777777778,0.9294017094017093,0.027067964062009262,24
27,0.007996559143066406,0.002189603089412408,0.005701446533203125,0.0009813144277449797,gini,3,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_split': 15}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.8777777777777778,0.9294017094017093,0.027067964062009262,24
